Index,Hogwarts House
981,Gryffindor
1001,Ravenclaw
1007,Ravenclaw
1014,Gryffindor
1017,Hufflepuff
1020,Ravenclaw
1024,Ravenclaw
1025,Hufflepuff
1028,Ravenclaw
1050,Slytherin
1052,Hufflepuff
1055,Gryffindor
1069,Ravenclaw
1072,Hufflepuff
1074,Slytherin
1081,Slytherin
1084,Gryffindor
1085,Gryffindor
1088,Gryffindor
1099,Hufflepuff
1105,Hufflepuff
1118,Slytherin
1124,Gryffindor
1127,Gryffindor
1137,Ravenclaw
1138,Ravenclaw
1139,Slytherin
1147,Gryffindor
1156,Ravenclaw
1157,Hufflepuff
1167,Ravenclaw
1168,Gryffindor
1170,Ravenclaw
1173,Hufflepuff
1176,Hufflepuff
1184,Hufflepuff
1189,Ravenclaw
1194,Ravenclaw
1201,Hufflepuff
1203,Ravenclaw
1204,Ravenclaw
1212,Slytherin
1213,Hufflepuff
1218,Ravenclaw
1222,Slytherin
1224,Hufflepuff
1225,Ravenclaw
1234,Hufflepuff
1238,Hufflepuff
1239,Slytherin
1242,Hufflepuff
1252,Hufflepuff
1260,Hufflepuff
1263,Slytherin
1267,Slytherin
1268,Hufflepuff
1271,Gryffindor
1279,Hufflepuff
1280,Ravenclaw
1284,Slytherin
1290,Ravenclaw
1291,Hufflepuff
1297,Hufflepuff
1299,Ravenclaw
1302,Hufflepuff
1304,Gryffindor
1307,Ravenclaw
1308,Ravenclaw
1322,Hufflepuff
1324,Ravenclaw
1326,Ravenclaw
1328,Gryffindor
1330,Gryffindor
1338,Ravenclaw
1339,Hufflepuff
1340,Slytherin
1342,Hufflepuff
1343,Slytherin
1344,Ravenclaw
1359,Ravenclaw
1370,Gryffindor
1374,Slytherin
1380,Hufflepuff
1381,Ravenclaw
1383,Ravenclaw
1392,Ravenclaw
1394,Ravenclaw
1403,Ravenclaw
1426,Hufflepuff
1435,Hufflepuff
1437,Gryffindor
1443,Gryffindor
1447,Slytherin
1450,Ravenclaw
1452,Slytherin
1457,Gryffindor
1458,Gryffindor
1460,Ravenclaw
1465,Ravenclaw
1467,Hufflepuff
1474,Gryffindor
1484,Ravenclaw
1493,Hufflepuff
1499,Ravenclaw
1504,Hufflepuff
1511,Gryffindor
1520,Gryffindor
1524,Hufflepuff
1525,Hufflepuff
1530,Hufflepuff
1531,Ravenclaw
1535,Gryffindor
1542,Ravenclaw
1543,Hufflepuff
1562,Ravenclaw
1563,Hufflepuff
1568,Ravenclaw
1570,Hufflepuff
1573,Gryffindor
1578,Gryffindor
1581,Slytherin
1583,Slytherin
1592,Gryffindor
1598,Hufflepuff
